,Acidobacteria,Actinobacteria,Aquificae,Archaea unclassified,Armatimonadetes,Ascomycota,Bacteria candidate phyla unclassified,Bacteria unclassified,Bacteroidetes,Bacteroidetes/Chlorobi group unclassified,Candidate division CPR1,Candidate division CPR3,Candidate division WWE3,Candidate division Zixibacteria,Candidatus Adlerbacteria,Candidatus Aerophobetes,Candidatus Atribacteria,Candidatus Azambacteria,Candidatus Beckwithbacteria,Candidatus Berkelbacteria,Candidatus Calescamantes,Candidatus Campbellbacteria,Candidatus Dadabacteria,Candidatus Daviesbacteria,Candidatus Falkowbacteria,Candidatus Fervidibacteria,Candidatus Gottesmanbacteria,Candidatus Hydrogenedentes,Candidatus Jorgensenbacteria,Candidatus Kuenenbacteria,Candidatus Levybacteria,Candidatus Magasanikbacteria,Candidatus Microgenomates,Candidatus Moranbacteria,Candidatus Nanohaloarchaeota,Candidatus Nomurabacteria,Candidatus Pacebacteria,Candidatus Parcubacteria,Candidatus Peregrinibacteria,Candidatus Poribacteria,Candidatus Roizmanbacteria,Candidatus Saccharibacteria,Candidatus Uhrbacteria,Candidatus Woesebacteria,Candidatus Wolfebacteria,Chlamydiae,Chloroflexi,Chrysiogenetes,Cloacimonetes,Crenarchaeota,Cyanobacteria,Cyanobacteria/Melainabacteria group unclassified,DPANN group unclassified,Deferribacteres,Deinococcus-Thermus,Dikarya unclassified,Elusimicrobia,Eukaryota unclassified,Euryarchaeota,FCB group unclassified,Fibrobacteres,Firmicutes,Fungi unclassified,Fusobacteria,Gemmatimonadetes,Latescibacteria,Marinimicrobia,Microgenomates group unclassified,Nanoarchaeota,Nitrospinae,Nitrospinae/Tectomicrobia group unclassified,Nitrospirae,Nonspecific/Host,Omnitrophica,Opisthokonta unclassified,PVC group unclassified,Parcubacteria group unclassified,Patescibacteria group unclassified,Planctomycetes,Proteobacteria,Spirochaetes,Synergistetes,TACK group unclassified,Tenericutes,Terrabacteria group unclassified,Thaumarchaeota,Thermodesulfobacteria,Thermotogae,Unclassified Bacteria unclassified,Verrucomicrobia,AlphaDiversity
SRR5318447_90000_1.fastq.gz,0.0,0.00604798064646,0.0,0.0,1.11999641601e-05,0.0,0.000190399390722,0.374022803127,0.0124319602177,0.0,0.0,0.0,2.23999283202e-05,0.0,0.0,0.0,1.11999641601e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11999641601e-05,0.0,0.000459198530565,0.0,0.0,0.0,1.11999641601e-05,5.59998208006e-05,1.11999641601e-05,0.0,0.0,0.0,1.11999641601e-05,0.0,0.000201599354882,0.0,0.0,5.59998208006e-05,1.11999641601e-05,1.11999641601e-05,0.000111999641601,6.71997849607e-05,0.000123199605761,0.0,0.000291199068163,0.0,1.11999641601e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11999641601e-05,1.11999641601e-05,2.23999283202e-05,0.334475729678,0.0,0.0169903456309,0.0,2.23999283202e-05,0.000123199605761,1.11999641601e-05,0.0,0.0,0.0,1.11999641601e-05,0.00866877225993,0.000380798781444,0.0,0.0,0.000257599175683,0.0,3.35998924803e-05,0.237999238402,0.000156799498242,0.0,0.0,1.11999641601e-05,0.00358398853124,0.0,0.0,0.0,0.00113119638017,0.00191519387138,0.51007059222341389
SRR5318452_90000_1.fastq.gz,3.35927439673e-05,0.00296735905045,0.0,0.0,0.0,1.11975813224e-05,0.00322490342086,0.477744807122,0.00689771009462,0.0,0.0,0.0,1.11975813224e-05,0.0,0.0,3.35927439673e-05,1.11975813224e-05,0.0,0.0,1.11975813224e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00110856055092,0.0,1.11975813224e-05,0.0,1.11975813224e-05,6.71854879346e-05,0.0,0.0,0.0,0.0,1.11975813224e-05,3.35927439673e-05,0.000145568557192,0.0,0.0,0.000111975813224,0.0,3.35927439673e-05,6.71854879346e-05,0.000190358882481,0.000123173394547,0.0,0.000750237948603,0.0,4.47903252897e-05,0.0,0.0,0.0,3.35927439673e-05,0.0,0.0,0.0,0.0,5.59879066122e-05,1.11975813224e-05,0.139656234253,0.0,0.138155758356,0.0,5.59879066122e-05,0.000167963719837,4.47903252897e-05,0.0,0.0,0.0,1.11975813224e-05,0.00910363361514,0.000302334695706,0.0,0.0,0.000246346789094,0.0,2.23951626449e-05,0.211320754717,0.000447903252897,0.0,0.0,6.71854879346e-05,0.00438945187839,0.0,0.0,7.8383069257e-05,0.00101897990034,0.00115335087621,0.59423422861751696
SRR5318456_90000_1.fastq.gz,0.0,0.0033788713896,1.12254863442e-05,0.0,0.0,0.0,0.000280637158605,0.294455732295,0.00428813578348,1.12254863442e-05,0.0,2.24509726884e-05,1.12254863442e-05,0.0,0.0,3.36764590326e-05,0.0,0.0,0.0,1.12254863442e-05,4.49019453768e-05,0.0,0.0,1.12254863442e-05,0.0,0.0,0.00163892100625,1.12254863442e-05,0.0,0.0,0.0,7.85784044094e-05,1.12254863442e-05,0.0,0.0,0.0,0.0,2.24509726884e-05,0.000179607781507,0.0,0.0,3.36764590326e-05,3.36764590326e-05,4.49019453768e-05,0.000336764590326,0.000123480349786,0.000145931322475,0.0,0.000505146885489,0.0,2.24509726884e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.36764590326e-05,0.0,0.501240416241,0.0,0.0138859266078,0.0,2.24509726884e-05,3.36764590326e-05,0.0,0.0,0.0,0.0,1.12254863442e-05,0.017579111615,0.00021328424054,0.0,0.0,0.000258186185917,0.0,3.36764590326e-05,0.143472940965,0.000112254863442,2.24509726884e-05,0.0,0.000202058754196,0.0164116610352,0.0,0.0,0.0,0.000550048830866,0.000168382295163,0.43947564533856959
SRR5318460_90000_1.fastq.gz,1.11975813224e-05,0.00313532277028,0.0,0.0,1.11975813224e-05,0.0,0.000492693578187,0.381703152119,0.00507250433906,1.11975813224e-05,0.0,1.11975813224e-05,6.71854879346e-05,0.0,0.0,2.23951626449e-05,0.000156766138514,0.0,0.0,0.0,3.35927439673e-05,0.0,0.0,1.11975813224e-05,1.11975813224e-05,0.0,0.0028441856559,0.0,0.0,0.0,1.11975813224e-05,0.00036952018364,0.0,2.23951626449e-05,0.0,0.0,0.0,2.23951626449e-05,0.000391915346285,0.0,0.0,4.47903252897e-05,0.0,3.35927439673e-05,0.000492693578187,6.71854879346e-05,0.000582274228767,1.11975813224e-05,0.000447903252897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11975813224e-05,0.0,0.0,0.0,2.23951626449e-05,0.23259615923,0.0,0.00844297631712,1.11975813224e-05,5.59879066122e-05,8.95806505795e-05,2.23951626449e-05,0.0,0.0,0.0,0.0,0.00620346005263,0.000167963719837,0.0,1.11975813224e-05,0.000324729858351,0.0,2.23951626449e-05,0.345882089469,0.000134370975869,1.11975813224e-05,0.0,1.11975813224e-05,0.00889087957001,0.0,0.0,0.0,0.000358322602318,0.000638262135379,0.46539577791667125
SRR5318464_90000_1.fastq.gz,0.0,0.00239987321425,1.1320156671e-05,0.0,1.1320156671e-05,0.0,0.00023772329009,0.257590165048,0.00223007086418,0.0,0.0,2.26403133419e-05,0.0,0.0,0.0,2.26403133419e-05,0.000124521723381,0.0,0.0,1.1320156671e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00104145441373,0.0,1.1320156671e-05,0.0,0.0,0.000169802350065,0.0,0.0,0.0,0.0,0.0,2.26403133419e-05,7.92410966968e-05,1.1320156671e-05,0.0,3.39604700129e-05,1.1320156671e-05,1.1320156671e-05,0.0,0.00011320156671,0.000192442663406,0.0,0.000339604700129,3.39604700129e-05,0.000328284543458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.66007833548e-05,1.1320156671e-05,0.371776585388,0.0,6.79209400258e-05,1.1320156671e-05,0.0,6.79209400258e-05,7.92410966968e-05,1.1320156671e-05,0.0,0.0,0.0,0.00607892413231,4.52806266839e-05,0.0,1.1320156671e-05,0.000226403133419,0.0,4.52806266839e-05,0.147252597976,0.000294324073445,0.000158482193394,0.0,0.000203762820077,0.00739206230614,0.0,0.0,0.0,0.000792410966968,0.200355452919,0.63586211745151033
SRR5318468_90000_1.fastq.gz,0.0,0.00992299575691,1.12251083223e-05,0.0,2.24502166446e-05,0.0,0.000123476191545,0.200727387019,0.334463327571,0.0,0.0,1.12251083223e-05,0.0,0.0,0.0,0.000482679657859,0.000134701299868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.36753249669e-05,0.0,0.00024695238309,1.12251083223e-05,1.12251083223e-05,0.0,0.0,7.85757582561e-05,0.0,0.0,0.0,0.0,0.0,1.12251083223e-05,1.12251083223e-05,1.12251083223e-05,0.0,2.24502166446e-05,0.0,0.0,0.0,1.12251083223e-05,0.00029185281638,0.0,0.000123476191545,0.0,6.73506499338e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000101025974901,1.12251083223e-05,2.24502166446e-05,0.289416967874,0.0,0.0,0.0,1.12251083223e-05,0.00029185281638,0.0,0.0,0.0,0.0,0.0,0.0434972947489,0.000898008665784,0.0,0.0,0.000258177491413,0.0,2.24502166446e-05,0.0799227712547,0.00101025974901,3.36753249669e-05,0.0,6.73506499338e-05,0.00703814291808,0.0,0.0,0.0,0.00148171429854,0.0290842556631,0.79861714768752312
SRR5318472_90000_1.fastq.gz,0.0,0.00301099520722,0.0,0.0,5.63856780378e-05,0.0,0.00041725401748,0.251367352692,0.003879334649,1.12771356076e-05,0.0,1.12771356076e-05,1.12771356076e-05,1.12771356076e-05,0.0,3.38314068227e-05,4.51085424302e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12771356076e-05,0.0,0.00152241330702,0.0,1.12771356076e-05,0.0,0.0,0.000169157034113,0.0,0.0,0.0,0.0,0.0,3.38314068227e-05,0.000214265576544,0.0,0.0,0.0,0.0,3.38314068227e-05,0.000202988440936,9.02170848604e-05,0.000349591203834,0.0,0.000248096983366,0.0,2.25542712151e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12771356076e-05,0.0,1.12771356076e-05,0.204589794192,0.0,0.0116718353538,0.0,3.38314068227e-05,7.89399492529e-05,2.25542712151e-05,0.0,0.0,0.0,1.12771356076e-05,0.00916831124894,0.000270651254581,0.0,0.0,0.000338314068227,0.0,2.25542712151e-05,0.397710741472,0.000101494220468,0.108339441782,0.0,0.0,0.00408232308994,0.0,0.0,0.0,0.000868339441782,0.000902170848604,0.66278757205627092
SRR5318476_90000_1.fastq.gz,1.11895623762e-05,0.00107419798812,0.0,0.0,1.11895623762e-05,0.0,0.000179032998019,0.257897033647,0.000346876433663,0.0,0.0,0.0,1.11895623762e-05,0.0,0.0,0.0,2.23791247524e-05,0.0,0.0,0.0,6.71373742573e-05,0.0,0.0,0.0,0.0,0.0,0.000637805055444,1.11895623762e-05,4.47582495049e-05,0.0,0.0,4.47582495049e-05,0.0,0.0,0.0,0.0,0.0,1.11895623762e-05,5.59478118811e-05,0.0,0.0,4.47582495049e-05,0.0,0.0,0.0,5.59478118811e-05,6.71373742573e-05,0.0,0.000525909431682,0.0,2.23791247524e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11895623762e-05,0.0,0.0,0.441394667055,0.0,7.83269366335e-05,1.11895623762e-05,2.23791247524e-05,3.35686871286e-05,0.0,0.0,0.0,0.0,0.0,0.00655708355246,5.59478118811e-05,0.0,0.0,0.000134274748515,0.0,3.35686871286e-05,0.287459857445,2.23791247524e-05,3.35686871286e-05,0.0,0.0,0.00209244816435,0.0,0.0,0.0,0.000425203370296,0.000492340744553,0.32003496676759247
SRR5318480_90000_1.fastq.gz,7.86287152068e-05,0.00529058926606,0.0,0.0,1.1232673601e-05,0.0,0.000269584166423,0.317749870824,0.00339226742749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000101094062409,0.0,0.0,0.0,4.49306944039e-05,0.0,0.0,0.0,0.0,0.0,0.00195448520657,1.1232673601e-05,0.0,0.0,0.0,7.86287152068e-05,0.0,0.0,0.0,1.1232673601e-05,0.0,2.24653472019e-05,0.000202188124817,0.0,0.0,4.49306944039e-05,4.49306944039e-05,2.24653472019e-05,0.000179722777616,5.61633680049e-05,0.000325747534428,0.0,0.000505470312044,0.0,1.1232673601e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.24653472019e-05,0.0,0.237380091209,0.0,0.00882888145036,0.0,4.49306944039e-05,8.98613888078e-05,1.1232673601e-05,0.0,0.0,0.0,1.1232673601e-05,0.00816615370791,0.000179722777616,0.0,0.0,0.00023588614562,1.1232673601e-05,8.98613888078e-05,0.383607036147,0.000146024756813,0.000202188124817,0.0,2.24653472019e-05,0.0284860602521,0.0,0.0,0.0,0.000527935659246,0.00152764360973,0.53118118715329299
SRR5318484_90000_1.fastq.gz,3.35499166844e-05,0.00282937630705,0.0,0.0,0.0,0.0,0.000246032722352,0.402822666324,0.00182287880652,0.0,0.0,0.0,6.70998333687e-05,0.0,0.0,0.0,1.11833055615e-05,0.0,0.0,0.0,1.11833055615e-05,0.0,0.0,0.0,1.11833055615e-05,0.0,0.00149856294524,0.0,0.0,0.0,0.0,0.000447332222458,0.0,0.0,0.0,0.0,0.0,0.0,0.000190116194545,0.0,0.0,3.35499166844e-05,0.0,1.11833055615e-05,0.000201299500106,6.70998333687e-05,0.000760464778179,0.0,0.000782831389302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.185721155459,0.0,0.00821972958767,0.0,5.59165278073e-05,7.82831389302e-05,1.11833055615e-05,0.0,0.0,0.0,0.0,0.00692246614254,0.00015656627786,0.0,0.0,0.000212482805668,0.0,1.11833055615e-05,0.381473736007,0.000145382972299,0.000100649750053,0.0,1.11833055615e-05,0.00456278866907,0.0,1.11833055615e-05,0.0,0.000246032722352,0.000212482805668,0.38733145453382573
SRR5318485_90000_1.fastq.gz,0.0,0.00159232097603,1.12135280002e-05,0.0,1.12135280002e-05,0.0,0.000123348808002,0.392294063558,0.000897082240014,0.0,1.12135280002e-05,2.24270560004e-05,0.0,0.0,0.0,4.48541120007e-05,1.12135280002e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00109892574402,0.0,0.0,0.0,0.0,4.48541120007e-05,1.12135280002e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12135280002e-05,0.0,0.0,0.0,0.000123348808002,6.72811680011e-05,0.0,0.000863441656014,1.12135280002e-05,2.24270560004e-05,0.0,0.0,1.12135280002e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.447273991343,0.0,8.97082240014e-05,2.24270560004e-05,2.24270560004e-05,3.36405840005e-05,1.12135280002e-05,0.0,0.0,0.0,0.0,0.0060104510081,3.36405840005e-05,0.0,0.0,0.000112135280002,0.0,4.48541120007e-05,0.144789073538,0.000179416448003,0.0,0.0,1.12135280002e-05,0.00315100136805,0.0,0.0,0.0,0.000482181704008,0.000448541120007,0.2707058598185878
SRR5318491_90000_1.fastq.gz,3.36111858026e-05,0.0050976965134,0.0,0.0,4.48149144035e-05,0.0,0.000145648471811,0.165535090078,0.00244241283499,0.0,0.0,1.12037286009e-05,0.0,0.0,0.0,3.36111858026e-05,1.12037286009e-05,0.0,0.0,1.12037286009e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.000459352872636,0.0,0.0,0.0,0.0,0.000179259657614,0.0,0.0,0.0,0.0,0.0,0.0,7.84261002061e-05,0.0,0.0,3.36111858026e-05,0.0,0.0,0.0,3.36111858026e-05,0.00012324101461,0.0,0.00038092677243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12037286009e-05,0.0,0.0,0.31646051806,0.0,4.48149144035e-05,1.12037286009e-05,0.0,7.84261002061e-05,0.0,0.0,0.0,0.0,0.0,0.00932150219593,6.72223716053e-05,0.0,0.0,2.24074572018e-05,0.0,5.60186430044e-05,0.493815541812,0.00012324101461,0.0,0.0,1.12037286009e-05,0.00422380568253,0.0,0.0,0.0,0.000784261002061,0.000313704400825,0.31283454256685472
SRR5318496_90000_1.fastq.gz,7.87321868427e-05,0.0041615584474,0.0,0.0,3.37423657897e-05,0.0,0.000607362584215,0.262605585486,0.149264978799,3.37423657897e-05,0.0,0.0,1.12474552632e-05,0.0,1.12474552632e-05,0.000584867673689,0.000134969463159,0.0,1.12474552632e-05,0.0,0.000101227097369,0.0,0.0,1.12474552632e-05,1.12474552632e-05,0.0,0.00274437908423,0.0,0.0,0.0,1.12474552632e-05,4.4989821053e-05,0.0,1.12474552632e-05,0.0,1.12474552632e-05,0.0,2.24949105265e-05,0.00038241347895,0.0,0.0,1.12474552632e-05,0.0,3.37423657897e-05,0.000258691471055,2.24949105265e-05,0.00041615584474,0.0,0.000146216918422,0.0,0.000314928747371,0.0,0.0,1.12474552632e-05,0.0,0.0,0.0,0.0,0.0,1.12474552632e-05,3.37423657897e-05,0.189868292299,0.0,0.00163088101317,0.0,5.62372763162e-05,0.000573620218426,3.37423657897e-05,0.0,0.0,0.0,2.24949105265e-05,0.0652914778031,0.000303681292108,0.0,0.0,0.000292433836844,0.0,4.4989821053e-05,0.110270051401,0.000157464373685,0.000179959284212,0.0,0.0,0.00274437908423,0.0,0.0,0.0,0.000686094771058,0.205693461854,1.0
SRR5318500_90000_1.fastq.gz,2.24227815461e-05,0.00285890464712,0.0,0.0,0.0,1.1211390773e-05,0.000280284769326,0.342732215931,0.00229833510847,0.0,0.0,0.0,4.48455630921e-05,0.0,0.0,3.36341723191e-05,3.36341723191e-05,0.0,0.0,1.1211390773e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.000796008744885,0.0,1.1211390773e-05,0.0,0.0,0.000448455630921,0.0,1.1211390773e-05,0.0,0.0,0.0,2.24227815461e-05,0.000179382252368,0.0,0.0,0.000179382252368,0.0,0.0,2.24227815461e-05,6.72683446382e-05,0.000168170861595,0.0,0.000661472055608,0.0,3.36341723191e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1211390773e-05,0.0,0.301877907954,0.0,2.24227815461e-05,0.0,0.0,5.60569538651e-05,0.0,0.0,0.0,0.0,0.0,0.0196199338528,0.000280284769326,0.0,0.0,0.000381187286283,0.0,1.1211390773e-05,0.321307248164,6.72683446382e-05,1.1211390773e-05,0.0,4.48455630921e-05,0.00406973485061,0.0,0.0,1.1211390773e-05,0.000515723975559,0.000784797354112,0.43767636266431997
SRR5318505_90000_1.fastq.gz,4.47627573859e-05,0.0702551477171,0.0,0.0,1.11906893465e-05,0.0,0.000100716204118,0.409400179051,0.00154431512981,1.11906893465e-05,0.0,0.0,0.0,0.0,0.0,3.35720680394e-05,0.0,0.0,0.0,0.0,0.0,1.11906893465e-05,0.0,0.0,0.0,0.0,0.000861683079678,0.0,0.0,0.0,0.0,0.000100716204118,0.0,0.0,0.0,0.0,0.0,0.0,0.000201432408236,0.0,0.0,7.83348254252e-05,6.71441360788e-05,1.11906893465e-05,1.11906893465e-05,6.71441360788e-05,0.000425246195166,0.0,0.00124216651746,0.0,1.11906893465e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11906893465e-05,0.0,0.168554162936,0.0,1.11906893465e-05,0.0,1.11906893465e-05,0.000123097582811,0.0,0.0,0.0,0.0,0.0,0.0240823634736,5.59534467323e-05,0.0,0.0,0.000246195165622,0.0,3.35720680394e-05,0.308269919427,0.000134288272158,5.59534467323e-05,0.0,4.47627573859e-05,0.0128357206804,0.0,0.0,0.0,0.000671441360788,0.000369292748433,0.58755323529892878
SRR5318506_90000_1.fastq.gz,2.24916218709e-05,0.00338498909156,0.0,0.0,7.8720676548e-05,0.0,0.00111333528261,0.37004340883,0.00313758125098,0.0,0.0,0.0,2.24916218709e-05,1.12458109354e-05,0.0,3.37374328063e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12458109354e-05,0.0,0.00204673759025,0.0,0.0,0.0,0.0,0.000213670407773,0.0,0.0,0.0,0.0,0.0,0.0,0.000258653651515,0.0,0.0,4.49832437417e-05,0.0,1.12458109354e-05,0.000292391084321,7.8720676548e-05,0.000326128517127,0.0,0.000438586626482,0.0,1.12458109354e-05,0.0,0.0,1.12458109354e-05,0.0,0.0,0.0,0.0,0.0,2.24916218709e-05,2.24916218709e-05,0.0778097658622,0.0,0.0162052135579,0.0,0.0,2.24916218709e-05,3.37374328063e-05,0.0,0.0,0.0,0.0,0.00760216819235,0.000168687164031,0.0,0.0,0.000888419063899,0.0,1.12458109354e-05,0.347124446144,0.000112458109354,0.165437124671,0.0,0.0,0.00185555880435,0.0,0.0,0.0,0.000708486088932,0.000382357571805,0.61696028855704987
